"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"191306",142,0,0,13,15,0,2,1
"191307",18,0,0,0,25,0,2,1
"191308",107,0,0,25,25,0,2,1
"191309",42,0,0,28,32,0,2,2
"191310",214,0,0,12.9,21.9,0,2,1
"191311",351,0,0,15.3,24.4,0,1,1
"191312",558,0,0,38,52,0,1,2
"191313",147,0,0,21.1,46,0,1,1
"191314",254,0,0,25,25,0,1,1
"191315",1095,0,0,26,45,0,1,5
"191316",238,0,0,22.1,23,0,2,1
"191317",150,0,0,13,64,0,1,1
"191318",239,0,0,40.6,59,0,2,2
"191319",662,0,0,15,15,0,2,2
"191320",16,0,0,15,16.7,0,1,1
"191321",1211,0,0,20,32,0,2,2
"191322",206,0,0,22,30,0,1,1
"191323",169,0,0,17,72.4,0,4,3
"191324",18,0,0,0,27,0,2,1
"191325",448,0,0,0,21,0,2,2
"191326",301,0,0,29,36,0,1,1
"192004",920,0,0,51,53,0,1,2
"192006",842,15,0,32.1,49.1,0,2,1
"192007",321,0,0,35,55,0,1,1
"192008",698,0,0,56,62,0,1,1
"192009",541,0,0,28,32,0,1,2
"192010",1340,0,0,66.9,242,0,4,5
"192011",400,0,0,46,54.1,0,1,3
"192012",685,0,0,24,27,0,2,1
"192013",18,0,0,0,40.3,0,1,1
"192015",539,0,0,33.9,38,0,1,1
"192016",393,0,0,33.9,34,0,1,2
"192022",879,0,0,61,61,0,1,1
"192023",1995,0,11,60,99,0,3,3
"192028",282,0,0,35,50,0,1,1
"192029",68,0,0,18,18,0,2,1
"192030",1511,0,0,0,21,0,1,5
"192031",1320,0,0,71,71,0,1,1
"192032",625,0,0,81,113,0,2,1
"192034",501,0,0,18,42,0,1,1
"192035",323,0,0,34,38,0,2,1
"192036",404,0,0,36,38,0,2,1
"192037",467,0,0,40,68,0,2,3
"192041",144,0,0,16,16,0,1,1
"192043",236,0,0,29,45,0,1,1
"192048",364,0,0,59,59,0,1,3
"192055",14,0,0,22,22,0,2,2
"193300",169,0,17,171,220,1,2,2
"193301",236,0,0,48,48,0,3,1
"200001",1335,0,0,56.6,1302.6,0,3,2
"200008",971,0,0,77,121,0,4,1
"200009",8016,25,31,764.7,789.1,1,48,3
"200018",508,0,0,48,58,0,2,6
"200019",1922,0,0,185.9,243.6,0,7,11
"200020",748,0,0,61,61,0,5,5
"200021",1276,0,0,111,152,0,8,1
"200024",2202,0,0,250,250,0,7,3
"200031",384,0,0,33.5,36,0,2,2
"200033",6587,30,56,358.3,403.3,0,19,3
"200034",787,0,18,51.8,122,0,8,1
"200037",271,0,0,43.9,47.4,0,1,2
"200039",2390,0,0,198,198,0,8,1
"200041",139,0,0,36,37,0,1,2
"200050",463,0,0,166,166,0,2,4
"200052",240,0,0,0,74,0,1,1
"200063",619,0,0,92.9,102,0,9,2
"201300",661,0,0,72,72,0,2,1
"201301",175,0,0,18.8,30,0,1,2
"201302",236,0,0,40.9,41.1,0,1,4
"201303",33,0,0,16,25,0,2,1
"201304",111,0,0,18,33,0,1,1
"201305",18,0,0,8,10,0,1,1
"201306",464,0,0,25,25,0,2,2
"201307",13,0,0,25,25,0,1,1
"201308",144,0,0,42,46,0,1,1
"201309",593,0,0,21.4,40,0,3,5
